	Review Text	Review Title	Star Rating	negative	neutral	positive
0	This is a brilliant concept	Great product!	5	0.0	0.441	0.559
1	 Please start for men's asap	Great product!	5	0.0	0.635	0.365
2	Brilliant concept :)		5	0.0	0.128	0.872
4	Brilliant stuff!! Waiting to see more		5	0.0	0.533	0.467
8	This idea will be considered as one of the top notch idea in near future	Excellent	5	0.0	0.886	0.114
11	the name itself saying how cool and thoughtful people are connected with	Excellent	5	0.0	0.671	0.329
15	feeling honored to be aware about it from its childhood	Excellent	5	0.0	0.602	0.398
19	God bless you prosperity and endless success in your journey ahead	Excellent	5	0.0	0.482	0.518
22	and for it's future users fasten your seat belt to get some awesome stuff ever happened	Excellent	5	0.0	0.785	0.215
24	No spending on buying apparels for gf	Brilliant ..this is what we needed!!	5	0.268	0.732	0.0
27	 Why to buy if u can rent it	Brilliant ..this is what we needed!!	5	0.0	1.0	0.0
29	!!!	Brilliant ..this is what we needed!!	5	0.0	1.0	0.0
30	Brilliant idea!! Adorably splendid dresses at such reasonable expenses		5	0.0	0.347	0.653
36	its everything a girl could ever desire for (especially the ones like me who hates going on shopping for every lil thing!) Dress		5	0.106	0.694	0.2
40	jwellery		5	0.0	1.0	0.0
43	accessories		5	0.0	1.0	0.0
46	 shoes		5	0.0	1.0	0.0
49	you name it and they have it!! Loving it already		5	0.0	0.667	0.333
54	The whole concept looks great	Awesome app.	5	0.0	0.494	0.506
55	 Something to recommend to all your friends	Awesome app.	5	0.0	0.472	0.528
59	Nice UI! Loved the clothes	Looks like tinder for clothes!	5	0.0	0.3	0.7
60	 When are you starting men's??!	Looks like tinder for clothes!	5	0.0	1.0	0.0
66	Reserving a spot on my phone's home screen for this one!		5	0.0	1.0	0.0
69	Waiting for you guys to go live!	Sounds really exciting	5	0.0	1.0	0.0
71	This is gonna be one of the best in the market	This app is gonna rock	5	0.0	0.704	0.296
73	 !	This app is gonna rock	5	0.0	0.0	0.0
74	Can't wait to see more!!	Awesome stuff!!	5	0.0	1.0	0.0
76	Something that I wanted always!! Why spend on clothing when I can spend on partying	Can't wait!!!	5	0.0	0.79	0.21
79	bring on the sexy dresses!!!!!!	Can't wait!!!	5	0.0	0.467	0.533
80	I would love to try out!	Brilliant!	5	0.0	0.471	0.529
81	Great concept !!		5	0.0	0.299	0.701
84	Can't wait to get started with FlyRobe !!		5	0.0	1.0	0.0
85	A must app to suggest your girl friend !		5	0.0	0.632	0.368
88	Be fabulous at your fingertips now!	Refreshing concept	5	0.0	0.575	0.425
93	Please send me an invite to try this @ arjunkw3 (at) gmail (dot) com	Need an invite.	5	0.0	0.738	0.262
94	One amazing destination!!!		5	0.0	0.3	0.7
99	What's the access code???I am stuck there!!	Great!!	3	0.342	0.658	0.0
100	Nice App, Best destination fashion lovers		5	0.0	0.224	0.776
101	Stuck in access code	Access code	2	0.4	0.6	0.0
102	Quickly send or give an invite code	NEED AN iNVITE	3	0.0	0.789	0.211
103	com	NEED AN iNVITE	3	0.0	1.0	0.0
104	How to get dat	Access code	4	0.0	1.0	0.0
106	good one		5	0.0	0.256	0.744
107	Enjoyed a lot	A very good one	4	0.0	0.233	0.767
117	😃😃😃	Loved it 😄😄	5	0.0	1.0	0.0
119	Amazing was waiting for this only!!		5	0.0	0.533	0.467
120	This is so awesome!		5	0.0	0.352	0.648
123	I just love it😘		5	0.0	0.323	0.677
124	com	Invite me	5	0.0	1.0	0.0
126	com can I please get the access code	How to get the access code?	5	0.0	0.723	0.277
130	Totally amazing app		5	0.0	0.328	0.672
134	Awesome that's what i wanted!!		5	0.0	0.39	0.61
135	Awesome app		5	0.0	0.196	0.804
138	Loved it		5	0.0	0.204	0.796
141	Its cool		5	0.0	0.303	0.697
144	Great concept		5	0.0	0.196	0.804
146	Amazing		5	0.0	0.0	1.0
150	Will surely refer to my gf ;)	Nice concept	5	0.0	0.51	0.49
152	In love with the idea!	Awesome	5	0.0	0.471	0.529
154	Awesome app, especially for those who like to look fresh every time!		5	0.0	0.495	0.505
157	Good for ma girlfriend's make over ;)		5	0.0	0.51	0.49
164	To	Loved it	5	0.0	1.0	0.0
165	 Beloved	Loved it	5	0.0	0.0	1.0
166	Loved it		5	0.0	0.204	0.796
172	In love with it		5	0.0	0.417	0.583
173	Awsum app helped a lot		5	0.0	1.0	0.0
174	Upload for men also	Loved it	5	0.0	1.0	0.0
180	So colotful	Lovwd it	5	0.0	1.0	0.0
183	Lovwdit		5	0.0	1.0	0.0
186	I'm glad this thing is now available in India too		3	0.0	0.75	0.25
187	 Like, FINALLY! Looking forward for the services and styles		3	0.0	0.741	0.259
191	Look forward to men section	Nice catchy concept	5	0.0	1.0	0.0
192	Loved their collection of casual dresses	Elegant collection	5	0.0	0.412	0.588
193	 Also the app is super easy to use! Highly recommend the Flyrobe experience!	Elegant collection	5	0.0	0.496	0.504
194	My girlfriend tried the service when it had just launched and had a fantastic experience	Terrific app and experience	5	0.0	0.702	0.298
195	 Picked a dress, had it show up in 3 hours and wore it for a great night out	Terrific app and experience	5	0.0	0.773	0.227
